Time	Channel A	Channel B
(s)	(mV)	(V)

0.84250004	3.56456200	2.01757900
0.84300004	3.56456200	2.01757900
0.84350004	3.11746600	2.01757900
0.84400004	3.11746600	2.01757900
0.84450004	3.56456200	2.01757900
0.84500004	3.56456200	2.01757900
0.84550004	3.56456200	2.01757900
0.84600004	3.56456200	2.01757900
0.84650004	3.56456200	2.01757900
0.84700004	3.56456200	2.01757900
0.84750004	3.56456200	2.01757900
0.84800004	3.56456200	2.01757900
0.84850004	3.11746600	2.01757900
0.84900004	3.56456200	2.01757900
0.84950004	3.56456200	2.01757900
0.85000004	3.56456200	2.01757900
0.85050004	3.56456200	2.01757900
0.85100004	3.56456200	2.01757900
0.85150004	3.11746600	2.01757900
0.85200004	3.56456200	2.01757900
0.85250004	3.56456200	2.01757900
0.85300004	3.56456200	2.01757900
0.85350004	3.11746600	2.01757900
0.85400004	3.56456200	2.01757900
0.85450004	3.56456200	2.01757900
0.85500004	3.11746600	2.01757900
0.85550004	3.56456200	2.01757900
0.85600004	3.56456200	2.01757900
0.85650004	3.56456200	2.01757900
0.85700004	3.56456200	2.01757900
0.85750004	3.56456200	2.01757900
0.85800004	3.56456200	2.01757900
0.85850004	3.56456200	2.01757900
0.85900004	3.56456200	2.01757900
0.85950004	3.56456200	2.01757900
0.86000004	3.56456200	2.01757900
0.86050004	3.56456200	2.01757900
0.86100004	3.56456200	2.01757900
0.86150004	3.56456200	2.01757900
0.86200004	3.56456200	2.01757900
0.86250004	3.56456200	2.01757900
0.86300004	3.56456200	2.01757900
0.86350004	3.11746600	2.01757900
0.86400004	3.56456200	2.01757900
0.86450004	3.56456200	2.01757900
0.86500004	3.56456200	2.01757900
0.86550004	3.56456200	2.01757900
0.86600004	3.56456200	2.01757900
0.86650004	3.56456200	2.01757900
0.86700004	3.56456200	2.01757900
0.86750004	3.56456200	2.01757900
0.86800004	3.56456200	2.01757900
0.86850004	3.56456200	2.01757900
0.86900004	3.56456200	2.01757900
0.86950004	3.56456200	2.01757900
0.87000004	3.56456200	2.01757900
0.87050004	3.56456200	2.01757900
0.87100004	3.56456200	2.01757900
0.87150004	3.56456200	2.01757900
0.87200004	3.56456200	2.01757900
0.87250004	3.56456200	2.01757900
0.87300004	3.56456200	2.01757900
0.87350004	3.11746600	2.01757900
0.87400004	3.56456200	2.01757900
0.87450004	3.11746600	2.01757900
0.87500004	3.56456200	2.01757900
0.87550004	3.56456200	2.01757900
0.87600004	3.56456200	2.01757900
0.87650004	3.56456200	2.01757900
0.87700004	3.56456200	2.01757900
0.87750004	3.56456200	2.01757900
0.87800004	3.56456200	2.01757900
0.87850004	3.11746600	2.01757900
0.87900004	3.56456200	2.01757900
0.87950004	3.56456200	2.01757900
0.88000004	3.11746600	2.01757900
0.88050004	3.56456200	2.01757900
0.88100004	3.56456200	2.01757900
0.88150004	3.56456200	2.01757900
0.88200004	3.56456200	2.01757900
0.88250004	3.56456200	2.01757900
0.88300004	3.56456200	2.01757900
0.88350004	3.11746600	2.01757900
0.88400004	3.56456200	2.01757900
0.88450004	3.56456200	2.01757900
0.88500004	3.11746600	2.01757900
0.88550004	3.56456200	2.01757900
0.88600004	3.56456200	2.01757900
0.88650004	3.56456200	2.01757900
0.88700004	3.56456200	2.01757900
0.88750004	3.56456200	2.01757900
0.88800004	3.56456200	2.01757900
0.88850004	3.56456200	2.01757900
0.88900004	3.56456200	2.01757900
0.88950004	3.56456200	2.01757900
0.89000004	3.56456200	2.01757900
0.89050004	3.56456200	2.01757900
0.89100004	3.56456200	2.01757900
0.89150004	3.56456200	2.01757900
0.89200004	3.56456200	2.01757900
0.89250004	3.56456200	2.01757900
0.89300004	3.56456200	2.01757900
0.89350004	3.56456200	2.01757900
0.89400004	3.56456200	2.01757900
0.89450004	3.56456200	2.01757900
0.89500004	3.56456200	2.01757900
0.89550004	3.56456200	2.01757900
0.89600004	3.56456200	2.01757900
0.89650004	3.56456200	2.01757900
0.89700004	3.56456200	2.01757900
0.89750004	3.56456200	2.01757900
0.89800004	3.56456200	2.01757900
0.89850004	3.56456200	2.01757900
0.89900004	3.56456200	2.01757900
0.89950004	3.56456200	2.01757900
0.90000004	3.56456200	2.01757900
0.90050004	3.56456200	2.01757900
0.90100004	3.11746600	2.01757900
0.90150004	3.56456200	2.01757900
0.90200004	3.56456200	2.01757900
0.90250004	3.56456200	2.01757900
0.90300004	3.56456200	2.01757900
0.90350004	3.56456200	2.01757900
0.90400004	3.56456200	2.01757900
0.90450004	3.56456200	2.01757900
0.90500004	3.56456200	2.01757900
0.90550004	3.56456200	2.01757900
0.90600004	3.56456200	2.01757900
0.90650004	3.11746600	2.01757900
0.90700004	3.56456200	2.01757900
0.90750004	3.56456200	2.01757900
0.90800004	3.11746600	2.01757900
0.90850004	3.11746600	2.01757900
0.90900004	3.56456200	2.06198300
0.90950004	3.56456200	2.01757900
0.91000004	3.56456200	2.01757900
0.91050004	3.56456200	2.01757900
0.91100004	3.56456200	2.01757900
0.91150004	3.56456200	2.01757900
0.91200004	3.56456200	2.01757900
0.91250004	3.56456200	2.01757900
0.91300004	3.56456200	2.01757900
0.91350004	3.56456200	2.01757900
0.91400004	3.56456200	2.01757900
0.91450004	3.56456200	2.01757900
0.91500004	3.56456200	2.01757900
0.91550004	3.56456200	2.01757900
0.91600004	3.56456200	2.01757900
0.91650004	3.11746600	2.01757900
0.91700004	3.56456200	2.01757900
0.91750004	3.11746600	2.01757900
0.91800004	3.56456200	2.01757900
0.91850004	3.56456200	2.01757900
0.91900004	3.56456200	2.01757900
0.91950004	3.56456200	2.01757900
0.92000004	3.11746600	2.01757900
0.92050004	3.56456200	2.01757900
0.92100004	3.56456200	2.01757900
0.92150004	3.56456200	2.01757900
0.92200004	3.56456200	2.01757900
0.92250004	3.56456200	2.01757900
0.92300004	3.56456200	2.01757900
0.92350004	3.56456200	2.01757900
0.92400004	3.56456200	2.01757900
0.92450004	3.56456200	2.01757900
0.92500004	3.56456200	2.01757900
0.92550004	3.56456200	2.01757900
0.92600004	3.56456200	2.01757900
0.92650004	3.56456200	2.01757900
0.92700004	3.56456200	2.01757900
0.92750004	3.56456200	2.01757900
0.92800004	3.56456200	2.01757900
0.92850004	3.56456200	2.01757900
0.92900004	3.56456200	2.01757900
0.92950004	3.11746600	2.01757900
0.93000004	3.56456200	2.01757900
0.93050004	3.56456200	2.01757900
0.93100004	3.11746600	2.01757900
0.93150004	3.56456200	2.01757900
0.93200004	3.56456200	2.01757900
0.93250004	3.11746600	2.01757900
0.93300004	3.56456200	2.01757900
0.93350004	3.56456200	2.01757900
0.93400004	3.56456200	2.01757900
0.93450004	3.56456200	2.01757900
0.93500004	3.11746600	2.01757900
0.93550004	3.56456200	2.01757900
0.93600004	3.56456200	2.01757900
0.93650004	3.56456200	2.01757900
0.93700004	3.56456200	2.01757900
0.93750004	3.56456200	2.01757900
0.93800004	3.56456200	2.01757900
0.93850004	3.56456200	2.01757900
0.93900004	3.56456200	2.01757900
0.93950004	3.56456200	2.01757900
0.94000004	3.56456200	2.01757900
0.94050004	3.56456200	2.01757900
0.94100004	3.11746600	2.01757900
0.94150004	3.56456200	2.01757900
0.94200004	3.56456200	2.01757900
0.94250004	3.56456200	2.01757900
0.94300004	3.56456200	2.01757900
0.94350004	3.56456200	2.01757900
0.94400004	3.56456200	2.01757900
0.94450004	3.11746600	2.01757900
0.94500004	3.56456200	2.01757900
0.94550004	3.56456200	2.01757900
0.94600004	3.56456200	2.01757900
0.94650004	3.56456200	2.01757900
0.94700004	3.56456200	2.01757900
0.94750005	3.56456200	2.01757900
0.94800005	3.56456200	2.01757900
0.94850005	3.56456200	2.01757900
0.94900005	3.56456200	2.01757900
0.94950005	3.56456200	2.01757900
0.95000005	3.11746600	2.01757900
0.95050005	3.56456200	2.01757900
0.95100005	3.56456200	2.01757900
0.95150005	3.11746600	2.01757900
0.95200005	3.56456200	2.01757900
0.95250005	3.56456200	2.01757900
0.95300005	3.56456200	2.01757900
0.95350005	3.56456200	2.01757900
0.95400005	3.56456200	2.01757900
0.95450005	3.56456200	2.01757900
0.95500005	3.56456200	2.01757900
0.95550005	3.56456200	2.01757900
0.95600005	3.56456200	2.01757900
