	3.29919434
8.25699997	3.29919434
8.26000023	3.29919434
8.26200008	3.29919434
8.26500034	3.29919434
8.26799965	3.29919434
8.27000046	3.29919434
8.27299976	3.29919434
8.27499962	3.29919434
8.27799988	3.29919434
8.28100014	3.29919434
8.28299999	3.29919434
8.28600025	3.29919434
8.28899956	3.29919434
8.29100037	3.29919434
8.29399967	3.29919434
8.29599953	3.29919434
8.29899979	3.29919434
8.30200005	3.29919434
8.30399990	3.29919434
8.30700016	3.29919434
8.30900002	3.29919434
8.31200027	3.29919434
8.31499958	3.29919434
8.31700039	3.29919434
8.31999969	3.29919434
8.32199955	3.29919434
8.32499981	3.29919434
8.32800007	3.29919434
8.32999992	3.29919434
8.33300018	3.29919434
8.33600044	3.29919434
8.33800030	3.29919434
8.34099960	3.29919434
8.34300041	3.29919434
8.34599972	3.29919434
8.34899998	3.29919434
8.35099983	3.29919434
8.35400009	3.29919434
8.35599995	3.29919434
8.35900021	3.29919434
8.36200047	3.29919434
8.36400032	3.29919434
8.36699963	3.29919434
8.36900043	3.29919434
8.37199974	3.29919434
8.37500000	3.29919434
8.37699986	3.29919434
8.38000011	3.29919434
8.38199997	3.29919434
8.38500023	3.29919434
8.38799953	3.29919434
8.39000034	3.29919434
8.39299965	3.29919434
8.39599991	3.29919434
8.39799976	3.29919434
8.40100002	3.29919434
8.40299988	3.29919434
8.40600014	3.29919434
8.40900040	3.29919434
8.41100025	3.29919434
8.41399956	3.29919434
8.41600037	3.29919434
8.41899967	3.29919434
8.42199993	3.29919434
8.42399979	3.29919434
8.42700005	3.29919434
8.42899990	3.29919434
8.43200016	3.29919434
8.43500042	3.29919434
8.43700027	3.29919434
8.43999958	3.29919434
8.44299984	3.29919434
8.44499969	3.29919434
8.44799995	3.29919434
8.44999981	3.29919434
8.45300007	3.29919434
8.45600033	3.29919434
8.45800018	3.29919434
8.46100044	3.29919434
8.46300030	3.29919434
8.46599960	3.29919434
8.46899986	3.29919434
8.47099972	3.29919434
8.47399998	3.29919434
8.47599983	3.29919434
8.47900009	3.29919434
8.48200035	3.29919434
8.48400021	3.29919434
8.48700047	3.29919434
8.48999977	3.29919434
8.49199963	3.29919434
8.49499989	3.29919434
8.49699974	3.29919434
8.50000000	3.29919434
8.50300026	3.29919434
8.50500011	3.29919434
8.50800037	3.29919434
8.51000023	3.29919434
8.51299953	3.29919434
8.51599979	3.29919434
8.51799965	3.29919434
8.52099991	3.29919434
8.52299976	3.29919434
8.52600002	3.29919434
8.52900028	3.29919434
8.53100014	3.29919434
8.53400040	3.29919434
8.53600025	3.29919434
8.53899956	3.29919434
8.54199982	3.29919434
8.54399967	3.29919434
8.54699993	3.29919434
8.55000019	3.29919434
8.55200005	3.29919434
8.55500031	3.29919434
8.55700016	3.29919434
8.56000042	3.29919434
8.56299973	3.29919434
8.56499958	3.29919434
8.56799984	3.29919434
8.56999969	3.29919434
8.57299995	3.29919434
8.57600021	3.29919434
8.57800007	3.29919434
8.58100033	3.29919434
8.58300018	3.29919434
8.58600044	3.29919434
8.58899975	3.29919434
8.59099960	3.29919434
8.59399986	3.29919434
8.59700012	3.29919434
8.59899998	3.29919434
8.60200024	3.29919434
8.60400009	3.29919434
8.60700035	3.29919434
8.60999966	3.29919434
8.61200047	3.29919434
8.61499977	3.29919434
8.61699963	3.29919434
8.61999989	3.29919434
8.62300014	3.29919434
8.62500000	3.29919434
8.62800026	3.29919434
8.63000011	3.29919434
8.63300037	3.29919434
8.63599968	3.29919434
8.63799953	3.29919434
8.64099979	3.29919434
8.64400005	3.29919434
8.64599991	3.29919434
8.64900017	3.29919434
8.65100002	3.29919434
8.65400028	3.29919434
8.65699959	3.29919434
8.65900040	3.29919434
8.66199970	3.29919434
8.66399956	3.29919434
8.66699982	3.29919434
8.67000008	3.29919434
